"","Overall","var","Variables","Resample"
"1",20.8338883477256,"summary_X236",482,"Fold1"
"2",20.4572670559185,"summary_X3038",482,"Fold1"
"3",19.3323781106585,"summary_X1315",482,"Fold1"
"4",18.0457253991815,"summary_X535",482,"Fold1"
"5",15.8298808137432,"summary_X358",482,"Fold1"
"6",14.8979124299815,"summary_X244",482,"Fold1"
"7",13.2754965762318,"summary_X218",482,"Fold1"
"8",12.7688946470189,"summary_X149",482,"Fold1"
"9",12.4984097868616,"summary_X210",482,"Fold1"
"10",11.5830539089901,"summary_X808",482,"Fold1"
"11",11.539383766179,"summary_X1487",482,"Fold1"
"12",11.4522331914359,"summary_X367",482,"Fold1"
"13",10.7900585048924,"summary_X192",482,"Fold1"
"14",10.5605124225544,"summary_X272",482,"Fold1"
"15",10.2878520613216,"summary_X271",482,"Fold1"
"16",9.96992913754685,"summary_X1231",482,"Fold1"
"17",9.66325372747704,"summary_X203",482,"Fold1"
"18",9.59125025437674,"summary_X592",482,"Fold1"
"19",9.02019724003092,"title_X3038",482,"Fold1"
"20",8.8598212401966,"summary_X677",482,"Fold1"
"21",8.85417591568604,"title_X318",482,"Fold1"
"22",8.81768555878721,"title_X1383",482,"Fold1"
"23",8.81252400461769,"title_X582",482,"Fold1"
"24",8.36539637495405,"summary_X2093",482,"Fold1"
"25",8.34780676806046,"title_X149",482,"Fold1"
"26",8.26022481308348,"title_X712",482,"Fold1"
"27",8.11578300000768,"summary_X526",482,"Fold1"
"28",7.96256981317111,"summary_X688",482,"Fold1"
"29",7.86766856418889,"author_X43184319",482,"Fold1"
"30",7.80634855199427,"summary_X298",482,"Fold1"
"31",7.2852440005312,"summary_X454",482,"Fold1"
"32",7.28082280948617,"summary_X762",482,"Fold1"
"33",7.27376078491267,"summary_X1753",482,"Fold1"
"34",7.08469946252501,"summary_X1229",482,"Fold1"
"35",7.01886785380337,"summary_X912",482,"Fold1"
"36",6.98122650049275,"summary_X641",482,"Fold1"
"37",6.79802753084719,"summary_X491",482,"Fold1"
"38",6.75286249898067,"summary_X315",482,"Fold1"
"39",6.69068616893295,"summary_X1368",482,"Fold1"
"40",6.60984451497978,"summary_X488",482,"Fold1"
"41",6.53566836221091,"summary_X2466",482,"Fold1"
"42",6.52666260150503,"summary_X1570",482,"Fold1"
"43",6.45508806931569,"summary_X1330",482,"Fold1"
"44",6.39209764236744,"summary_X582",482,"Fold1"
"45",6.31462931684711,"summary_X397",482,"Fold1"
